,년,표준버스정류장ID,정류장명,위도,경도,승차수,하차수
249,2019,100900100,삼청파출소,37.5816451,126.9813258,3524,103164
250,2019,100900101,종로사우나,37.5738011,126.9877503,78280,10708
251,2019,100900102,종로도서관,37.5764842,126.9671251,28521,31419
252,2019,100900103,평창공원지킴터입구,37.6163963,126.9757438,2261,3911
253,2019,100900104,오거리.한옥마을입구,37.5794684,126.9697392,1744,41325
254,2019,100900105,정독도서관,37.5801915,126.9802007,6104,99758
255,2019,100900106,인사동들머리.3.1독립선언터,37.571947,126.9832969,9281,1311
256,2019,100900107,종로5가.3번출구,37.5714192,127.0020898,484213,176297
257,2019,100900108,활터앞,37.5768126,126.9653293,2226,10762
258,2019,100900109,참샘골공원,37.6145722,126.9741212,4079,7866
259,2019,100900110,성균관대학교,37.5850311,126.9972179,1379,7143
260,2019,100900111,광화문새마을금고,37.579493,126.9710277,10304,44103
261,2019,100900112,상명초등학교,37.6009238,126.9567154,1300,4511
262,2019,100900113,단군성전앞,37.57556,126.9653175,3662,6086
263,2019,100900114,무애사,37.6139004,126.9718458,2356,5007
264,2019,100900115,서교빌라,37.601989,126.9571553,2473,7699
265,2019,100900116,종각역YMCA,37.5703393,126.9850714,217405,165552
266,2019,100900117,동대문역.2번출구,37.5720494,127.0117218,67376,222646
267,2019,100900118,종로문화센터,37.574647,126.9646261,14698,17633
268,2019,100900119,EN갤러리,37.6134063,126.9707007,3273,5379
269,2019,100900120,경진빌라,37.6020037,126.9578303,2937,3204
270,2019,100900121,금강제화,37.5705445,126.9874384,98367,126771
271,2019,100900122,창신초교,37.5760372,127.01572,30235,39958
272,2019,100900123,교남동새마을금고,37.5714943,126.9623374,29543,32900
273,2019,100900124,형제봉입구,37.6128643,126.9816861,1305,2063
274,2019,100900125,현대사거리,37.5792417,126.9866353,3765,17626
275,2019,100900126,대신중고,37.5726178,126.9616893,59337,65494
276,2019,100900127,연화정사,37.614649,126.9794938,1004,1837
277,2019,100900128,이화사거리,37.57532,127.0022812,25736,63795
278,2019,100900129,삼청공원삼거리.옥호정터,37.5874185,126.9817444,177,44384
279,2019,100900131,재동초등학교,37.578791,126.9853617,17053,47528
280,2019,100900133,카센터.터널앞,37.5741644,126.9658593,15712,12002
281,2019,100900134,감람산기도원,37.6159439,126.9798729,1060,1256
282,2019,100900135,금융연수원,37.5858776,126.9818478,324,74178
283,2019,100900137,충신시장,37.5749766,127.0054048,77400,49178
284,2019,100900138,사직동주민센터,37.5762206,126.9689039,116335,101827
285,2019,100900139,김창열.윤명로화실,37.6163049,126.9783685,1474,2651
286,2019,100900140,박노수미술관,37.5810265,126.9668944,1399,128246
287,2019,100900141,삼청동주민센터,37.5846846,126.9822105,819,118891
288,2019,100900142,상명대입구,37.600021,126.9569583,354,3097
289,2019,100900143,대학로입구.이화사거리,37.5759841,127.0025801,196515,121646
290,2019,100900144,운현궁,37.5752716,126.9869813,3857,1797
291,2019,100900145,배화여중고,37.5767556,126.9678156,30296,76727
292,2019,100900147,감사원,37.5862656,126.9855618,4067,176014
293,2019,100900148,청룡사.보문파크뷰자이아파트,37.5797846,127.0171508,13345,150827
294,2019,100900149,강북삼성병원,37.5685315,126.9683376,4878,65082
295,2019,100900151,혜화초등학교,37.5873892,126.9999909,27591,125465
296,2019,100900152,상명대입구,37.5998544,126.9574023,79358,2421
297,2019,100900153,사우디대사관,37.5838633,126.9852486,1152,48410
298,2019,100900154,서울시교육청,37.5692429,126.9668249,3894,23590
299,2019,100900155,김종영미술관,37.6132637,126.9781122,3326,3258
300,2019,100900156,세검정교회,37.5995632,126.9594704,9720,1187
301,2019,100900157,안국선원.삼거리,37.5827432,126.9852205,3077,87036
302,2019,100900159,스위스대사관,37.5699887,126.9658057,1299,9950
303,2019,100900160,보현빌라,37.6152615,126.9782816,6167,2747
304,2019,100900161,하림각,37.5976847,126.9629663,23661,1677
305,2019,100900162,북촌한옥마을입구.정세권활동터,37.5812807,126.9851687,5407,88155
306,2019,100900163,숭인1동주민센터,37.577415,127.0155607,37349,41572
307,2019,100900164,월암공원,37.5711884,126.963986,17172,10808
308,2019,100900165,지구촌교회,37.6130468,126.9793481,5187,9699
309,2019,100900166,부암슈퍼,37.59476,126.9638602,17517,1313
310,2019,100900167,볼링장,37.5792554,126.9879589,4595,18971
311,2019,100900168,가회동주민센터,37.5799426,126.9851293,9208,36353
312,2019,100900169,새마을금고,37.5878406,126.996569,31744,247791
313,2019,100900170,상명초등학교,37.6009049,126.9568173,7423,2106
314,2019,100900171,서울국제고등학교,37.5890742,126.9971407,4723,143637
315,2019,100900172,통일부,37.5875308,126.9861073,103,8742
316,2019,100900173,종로센트레빌후문.e편한세상보문아파트,37.5818978,127.0162353,2211,95832
317,2019,100900174,국립민속박물관,37.5792551,126.9795533,78682,10805
318,2019,100900177,경복궁역,37.5770722,126.9724733,165481,74574
319,2019,100900178,삼청공원,37.5882276,126.9816468,77751,43438
320,2019,100900179,법련사,37.5765879,126.979665,48230,62755
321,2019,100900180,엄마분식,37.6012424,126.9557163,927,786
322,2019,100900181,부암동주민센터.무계원,37.5929353,126.9637682,26201,17464
323,2019,100900182,구기터널입구,37.6082046,126.9567768,17603,6935
324,2019,100900184,청구빌라,37.6046102,126.9569839,5605,41469
325,2019,100900186,독립문역3번출구,37.5728784,126.9597453,183160,114474
326,2019,100900187,신학대학교총회본부,37.5739763,126.9634445,4521,25953
327,2019,100900188,적십자병원후문앞,37.5675295,126.9652272,9599,3712
328,2019,100900189,안국역2번출구앞,37.5771728,126.9861183,416402,51692
329,2019,100900191,종로5가역,37.5706713,127.0000249,242241,257881
330,2019,100900192,동대문종합시장,37.571176,127.00614,56072,80211
331,2019,100900197,명륜새마을금고,37.5876532,126.9967048,11552,23370
332,2019,100900198,성균관대학교앞,37.5832597,126.9993359,7114,43960
333,2019,100900199,성대입구,37.5832668,126.998853,2933,3088
334,2019,100900200,혜화동로터리,37.5859196,127.0010032,175618,89037
335,2019,100900201,국민생활관,37.5896275,126.9993137,25950,218066
336,2019,100900202,서울성곽.성대후문,37.5892576,126.989632,11161,102
337,2019,100900203,성대후문.와룡공원,37.5891522,126.989734,189,29616
338,2019,100900204,성균관대학교,37.5884638,126.9900035,134331,254191
339,2019,100900205,동묘역,37.5726943,127.0142453,38868,122021
340,2019,100900206,종로센트레빌아파트,37.5803534,127.0156926,40672,30183
341,2019,100900207,창신초등학교,37.5769032,127.0153885,59180,30883
342,2019,100900210,창신쌍용1단지.종로센트레빌아파트,37.5803228,127.0155692,21464,137733
343,2019,100900211,종각.공평유적전시관,37.5715937,126.9832427,118271,36626
344,2019,100900213,조계사,37.5736021,126.9831364,36085,10752
345,2019,100900214,독립문역,37.5732838,126.9594077,186335,28249
346,2019,100900215,교남동주민센터,37.5721522,126.96128,6203,10903
347,2019,100900217,종로1.2.3.4가동주민센터,37.5743837,126.9911314,12872,11504
348,2019,101000001,남대문세무서.서울백병원,37.5649848,126.9875299,876124,567096
349,2019,101000002,서울백병원.국가인권위.안중근활동터,37.5643504,126.9878515,1343502,1476698
350,2019,101000003,서울역버스환승센터,37.555146,126.972257,148234,401609
351,2019,101000004,서울역버스환승센터,37.5554462,126.9723557,2179751,1788039
352,2019,101000005,서울역버스환승센터,37.5553876,126.9727617,1258401,1386214
353,2019,101000006,서울역버스환승센터,37.5554794,126.9728547,1885513,2035419
354,2019,101000007,서울역버스환승센터.강우규의거터,37.5556138,126.9729705,801218,1036330
355,2019,101000008,숭례문,37.5586388,126.9737783,797095,692389
356,2019,101000009,만리동고개,37.551787,126.9626582,528284,361006
357,2019,101000010,손기정체육공원입구,37.5544459,126.9662339,233560,277468
358,2019,101000011,서울의료보건고등학교.서울역서부,37.5561691,126.9687868,435195,148155
359,2019,101000012,서울역서부,37.5563255,126.9693762,298493,161778
360,2019,101000013,서울역서부,37.5569979,126.9692772,154281,283474
361,2019,101000014,중림동교차로,37.5583836,126.9691354,124913,154667
362,2019,101000015,종근당.충정로역,37.5595131,126.9644805,358726,256296
363,2019,101000016,한국경제신문사.서소문역사공원,37.5602111,126.967868,111417,140618
364,2019,101000017,한국경제신문사.서소문역사공원,37.5606234,126.9681135,133281,132189
365,2019,101000018,경찰청.동북아역사재단,37.5630494,126.9691267,760286,873629
366,2019,101000020,서대문경찰서.농협은행.유관순활동터,37.5649062,126.9677868,787159,285210
367,2019,101000021,염천교,37.5598597,126.9733602,247656,122032
368,2019,101000022,숭례문,37.5582968,126.9732932,99574,52283
369,2019,101000023,숭례문.한국일보,37.5587713,126.9737375,380850,208365
370,2019,101000025,후암삼거리,37.5533418,126.9760823,64086,115748
371,2019,101000026,숭례문,37.5587633,126.9743627,82708,8150
372,2019,101000027,숭례문,37.5584195,126.9740436,528925,674648
373,2019,101000028,숭례문,37.5580006,126.9736279,158119,44119
374,2019,101000029,남대문시장악세사리전문상가,37.5586132,126.9762051,45144,348777
375,2019,101000030,숭례문남산방향,37.5585581,126.975672,348535,33795
376,2019,101000031,남대문시장,37.561191,126.9800597,172629,204601
377,2019,101000032,북창동.남대문시장,37.561175,126.97792,1553133,979697
378,2019,101000033,시청앞,37.5623584,126.9765742,587256,883754
379,2019,101000034,삼성본관앞,37.5620517,126.9759075,551515,462221
380,2019,101000035,시청앞,37.5627642,126.9761487,247884,122465
381,2019,101000036,서소문,37.5632067,126.9748872,348899,276832
382,2019,101000037,서소문,37.5636754,126.9753398,738654,510222
383,2019,101000039,서울신문사,37.5683632,126.9773647,690347,650245
384,2019,101000040,우리은행종로지점,37.567519,126.9829289,894328,1019697
385,2019,101000041,롯데백화점,37.5644917,126.9820649,2324414,1685484
386,2019,101000042,해운센터.롯데영프라자,37.5628907,126.9815478,159486,275683
387,2019,101000043,롯데영프라자,37.562885,126.982008,1882068,1696047
388,2019,101000045,신세계앞,37.5608492,126.9815255,330005,196535
