,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
77,오리온제과(오리온),27919,4588,3371,16.43,12.07,13.69,36.11(21),172.20(21),"7,312.90(21)",8308,14.84,65470,1.88,794,0.72(21),11.50(21)
78,엘지디스플레이(LG디스플레이),263803,-18856,-18549,-7.15,-7.03,-14.71,158.46(21),70.22(21),603.25(21),-5099,-2.59,32663,0.4,354,2.64(21),19.61(21)
79,lgdisplay(LG디스플레이),263803,-18856,-18549,-7.15,-7.03,-14.71,158.46(21),70.22(21),603.25(21),-5099,-2.59,32663,0.4,354,2.64(21),19.61(21)
80,현대 제철(현대제철),274566,19903,13332,7.25,4.86,7.12,102.86(21),68.37(21),"2,437.63(21)",9817,3.64,143903,0.25,988,2.44(21),9.00(21)
81,현철(현대제철),274566,19903,13332,7.25,4.86,7.12,102.86(21),68.37(21),"2,437.63(21)",9817,3.64,143903,0.25,988,2.44(21),9.00(21)
82,삼엔(삼성엔지니어링),96718,6485,5268,6.71,5.45,23.09,209.04(21),97.36(21),100.99(21),2704,9.1,13209,1.86,38,-,-
83,삼성 엔지니어링(삼성엔지니어링),96718,6485,5268,6.71,5.45,23.09,209.04(21),97.36(21),100.99(21),2704,9.1,13209,1.86,38,-,-
84,디비손해보험(DB손해보험),"208,806(21)","11,084(21)",9620,5.31(21),4.18(21),15.44,861.78(21),^,"19,349.04(21)",13517,4.79,95897,0.68,4296,6.48(21),24.17(21)
85,db손보(DB손해보험),"208,806(21)","11,084(21)",9620,5.31(21),4.18(21),15.44,861.78(21),^,"19,349.04(21)",13517,4.79,95897,0.68,4296,6.48(21),24.17(21)
86,한항우(한국항공우주),27833,1496,1505,5.37,5.41,11.55,351.29(21),77.32(21),164.79(21),1580,30.66,14330,3.38,269,0.62(21),30.51(21)
87,한항주(한국항공우주),27833,1496,1505,5.37,5.41,11.55,351.29(21),77.32(21),164.79(21),1580,30.66,14330,3.38,269,0.62(21),30.51(21)
88,삼성 중공업(삼성중공업),59982,-6187,-4576,-10.31,-7.63,-11.61,196.26(21),32.92(21),469.56(21),-520,-11.22,4423,1.32,-,-,-
89,삼성중공(삼성중공업),59982,-6187,-4576,-10.31,-7.63,-11.61,196.26(21),32.92(21),469.56(21),-520,-11.22,4423,1.32,-,-,-
90,현걸(현대건설),207695,6697,7390,3.23,3.56,8.14,108.26(21),180.89(21),"1,198.84(21)",5467,6.86,70112,0.53,621,1.35(21),16.56(21)
91,현대 건설(현대건설),207695,6697,7390,3.23,3.56,8.14,108.26(21),180.89(21),"1,198.84(21)",5467,6.86,70112,0.53,621,1.35(21),16.56(21)
92,지에스(GS),287472,52088,30525,18.12,10.62,22.76,119.61(21),69.12(21),"2,708.44(21)",27993,1.54,137396,0.31,2175,5.12(21),13.07(21)
93,쥐에수(GS),287472,52088,30525,18.12,10.62,22.76,119.61(21),69.12(21),"2,708.44(21)",27993,1.54,137396,0.31,2175,5.12(21),13.07(21)
94,금호 석유(금호석유),81402,12257,10273,15.06,12.62,18.9,59.67(21),112.68(21),"2,952.02(21)",31115,4.71,214295,0.68,6433,6.02(21),14.29(21)
95,금호석유화학(금호석유),81402,12257,10273,15.06,12.62,18.9,59.67(21),112.68(21),"2,952.02(21)",31115,4.71,214295,0.68,6433,6.02(21),14.29(21)
96,미래에셋(미래에셋증권),239430,9435,7116,3.94,2.97,6.49,923.96(21),^,170.58(21),902,7.58,17726,0.39,196,3.47(21),16.32(21)
97,mirae asset(미래에셋증권),239430,9435,7116,3.94,2.97,6.49,923.96(21),^,170.58(21),902,7.58,17726,0.39,196,3.47(21),16.32(21)
98,유한 양행(유한양행),17995,356,769,1.98,4.28,4.09,27.27(21),188.33(21),"2,687.89(21)",1025,51.99,27542,1.94,367,0.61(21),25.42(21)
99,유한(유한양행),17995,356,769,1.98,4.28,4.09,27.27(21),188.33(21),"2,687.89(21)",1025,51.99,27542,1.94,367,0.61(21),25.42(21)
100,meritz증권(메리츠증권),"232,474(21)",10250,8090,4.08(21),3.37(21),15.77(21),914.32(21),^,621.09(21),1166,5.68,"8,360(21)",0.62(21),100,1.94(21),9.29(21)
101,메리츠 증권(메리츠증권),"232,474(21)",10250,8090,4.08(21),3.37(21),15.77(21),914.32(21),^,621.09(21),1166,5.68,"8,360(21)",0.62(21),100,1.94(21),9.29(21)
102,한국타이어(한국타이어앤테크놀로지),83086,6824,7915,8.21,9.53,9.12,42.64(21),166.70(21),"13,180.13(21)",6298,5.35,73327,0.46,700,1.76(21),14.28(21)
103,한국타이어테크(한국타이어앤테크놀로지),83086,6824,7915,8.21,9.53,9.12,42.64(21),166.70(21),"13,180.13(21)",6298,5.35,73327,0.46,700,1.76(21),14.28(21)
104,포스코인터내셔날(포스코인터내셔널),"339,489(21)","5,854(21)","3,565(21)",1.72(21),1.05(21),10.86(21),206.67(21),92.62(21),462.13(21),"2,924(21)",7.68(21),"28,259(21)",0.79(21),800(21),3.56(21),27.36(21)
105,poscointl(포스코인터내셔널),"339,489(21)","5,854(21)","3,565(21)",1.72(21),1.05(21),10.86(21),206.67(21),92.62(21),462.13(21),"2,924(21)",7.68(21),"28,259(21)",0.79(21),800(21),3.56(21),27.36(21)
106,coway(코웨이),38888,6766,4952,17.4,12.73,23.82,99.57(21),67.39(21),"4,685.25(21)",6697,8.42,30906,1.82,1297,1.68(21),19.48(21)
107,코웨이 정수기(코웨이),38888,6766,4952,17.4,12.73,23.82,99.57(21),67.39(21),"4,685.25(21)",6697,8.42,30906,1.82,1297,1.68(21),19.48(21)
108,한화에어(한화에어로스페이스),64544,3496,2245,5.42,3.48,7.81,180.95(21),106.40(21),843.51(21),4541,17.93,59224,1.37,580,1.46(21),14.01(21)
109,한화에어로(한화에어로스페이스),64544,3496,2245,5.42,3.48,7.81,180.95(21),106.40(21),843.51(21),4541,17.93,59224,1.37,580,1.46(21),14.01(21)
110,에스케이시(SKC),37549,3140,2418,8.36,6.44,8.56,170.78(21),75.65(21),999.44(21),4896,20.06,68605,1.43,1035,0.63(21),17.87(21)
111,에스케이씨(SKC),37549,3140,2418,8.36,6.44,8.56,170.78(21),75.65(21),999.44(21),4896,20.06,68605,1.43,1035,0.63(21),17.87(21)
112,밥캣(두산밥캣),82020,10223,5388,12.46,6.57,11.75,98.57(21),98.70(21),"9,238.40(21)",5373,6.56,48348,0.73,1275,2.94(21),31.17(21)
