name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
키움 증권(키움증권),54165,6815,4914,12.58,9.07,11.11,953.06(21),^,"2,889.20(21)",16919,5.99,165625,0.61,2249,3.27(21),11.59(21)
kiwoom증권(키움증권),54165,6815,4914,12.58,9.07,11.11,953.06(21),^,"2,889.20(21)",16919,5.99,165625,0.61,2249,3.27(21),11.59(21)
cj(CJ),408843,22966,8631,5.62,2.11,5.96,154.84(21),69.78(21),"2,682.28(21)",8924,9.27,167200,0.49,2483,2.76(21),28.09(21)
씨제이(CJ),408843,22966,8631,5.62,2.11,5.96,154.84(21),69.78(21),"2,682.28(21)",8924,9.27,167200,0.49,2483,2.76(21),28.09(21)
한솔 케미칼(한솔케미칼),8983,1950,1569,21.71,17.47,19.73,55.91(21),155.21(21),"1,110.01(21)",12895,16.21,72809,2.87,2229,0.69(21),15.75(21)
hansol케미칼(한솔케미칼),8983,1950,1569,21.71,17.47,19.73,55.91(21),155.21(21),"1,110.01(21)",12895,16.21,72809,2.87,2229,0.69(21),15.75(21)
한화 시스템(한화시스템),21200,416,-141,1.96,-0.66,-0.84,73.87(21),162.08(21),138.65(21),-98,-140.67,11770,1.17,130,1.00(21),30.43(21)
hanwha시스템(한화시스템),21200,416,-141,1.96,-0.66,-0.84,73.87(21),162.08(21),138.65(21),-98,-140.67,11770,1.17,130,1.00(21),30.43(21)
bnk금융지주(BNK금융지주),"55,807(21)",11995,8886,19.57(21),14.95(21),8.82,"1,154.86(21)",^,527.74(21),2595,2.79,30360,0.24,606,6.67(21),22.97(21)
bnk금융(BNK금융지주),"55,807(21)",11995,8886,19.57(21),14.95(21),8.82,"1,154.86(21)",^,527.74(21),2595,2.79,30360,0.24,606,6.67(21),22.97(21)
한전 기술(한전기술),4628,173,186,3.73,4.02,3.58,37.41(21),130.01(21),"6,756.73(21)",487,133.59,13814,4.71,243,0.28(21),55.03(21)
kepco(한전기술),4628,173,186,3.73,4.02,3.58,37.41(21),130.01(21),"6,756.73(21)",487,133.59,13814,4.71,243,0.28(21),55.03(21)
ssg(신세계),77694,7108,4620,9.15,5.95,9.07,136.78(21),32.33(21),"7,083.79(21)",35899,6.37,411357,0.56,3312,1.18(21),9.62(21)
SSG(신세계),77694,7108,4620,9.15,5.95,9.07,136.78(21),32.33(21),"7,083.79(21)",35899,6.37,411357,0.56,3312,1.18(21),9.62(21)
동원 산업(동원산업),"28,022(21)","2,607(21)","1,715(21)",9.30(21),6.12(21),12.59(21),105.26(21),68.23(21),"7,873.61(21)","9,202(21)",4.93(21),"84,257(21)",0.54(21),"1,000(21)",2.20(21),10.08(21)
dwml(동원산업),"28,022(21)","2,607(21)","1,715(21)",9.30(21),6.12(21),12.59(21),105.26(21),68.23(21),"7,873.61(21)","9,202(21)",4.93(21),"84,257(21)",0.54(21),"1,000(21)",2.20(21),10.08(21)
ls(LS),179679,7275,5357,4.05,2.98,12.17,168.05(21),93.65(21),"2,177.57(21)",14183,4.68,144113,0.46,1490,2.68(21),14.49(21)
엘에쓰(LS),179679,7275,5357,4.05,2.98,12.17,168.05(21),93.65(21),"2,177.57(21)",14183,4.68,144113,0.46,1490,2.68(21),14.49(21)
두산 퓨얼셀(두산퓨얼셀),2909,-21,21,-0.71,0.73,0.46,34.87(21),139.42(21),"6,223.91(21)",29,1171.7,6371,5.37,44,-,-
